date,product,category,quantity,price
2024-01-05,Canvas Backpack,Bags,12,62
2024-01-07,Ceramic Bottle,Home,18,28
2024-02-03,Canvas Backpack,Bags,16,62
2024-02-14,Travel Journal,Stationery,32,18
2024-03-02,Desk Lamp,Home,14,74
2024-03-12,Wireless Stand,Tech,22,46
2024-04-08,Canvas Backpack,Bags,25,62
2024-05-18,Ceramic Bottle,Home,29,28
2024-06-21,Travel Journal,Stationery,41,18
2024-07-09,Desk Lamp,Home,19,74
2024-08-16,Wireless Stand,Tech,27,46
2024-09-05,Canvas Backpack,Bags,31,62
2024-10-22,Ceramic Bottle,Home,34,28
2024-11-11,Desk Lamp,Home,38,74
2024-12-18,Canvas Backpack,Bags,49,62
